OBJECTID;Join_Count;TARGET_FID;CODIGO;NOMBRE;IDENTIFICA;SHAPE_Leng;fecha_hecho;año;mes;dia;hora;dia_semana;cantidad;latitud;longitud;sexo;edad;estado_civil;grupo_actor;actividad_delictiva;parentesco;ocupacion;discapacidad;grupo_especial;medio_transporte;nivel_academico;testigo;conducta;modalidad;caracterizacion;conducta_especial;arma_medio;articulo_penal;categoria_penal;nombre_barrio;codigo_barrio;codigo_comuna;lugar;sede_receptora;bien;categoria_bien;grupo_bien;modelo;color;permiso;unidad_medida;Shape_Length;Shape_Area
246;114;245;1302;Blanquizal;1302;2239.6042;;2017;9;25;30dec1899 03:00:00;;1;6.2750544;-75.604691;Mujer;38;UniÃ³n marital de hecho;;;;;;;Caminata;;;Hurto a residencia;Descuido;;;No;;;Blanquizal;1302;;Hotel, motel y hostal;San Javier;Peso;Dinero, joyas, piedras preciosas y tÃ­tulo valor;MercancÃ­a;;;;;2239.6042;121930.14
138;113;137;1303;Santa Rosa de Lima;1303;2158.9547;;2017;7;11;30dec1899 07:30:00;;1;6.2626887;-75.605351;Hombre;36;Soltero(a);;;;;;;Caminata;;;Hurto a residencia;Descuido;;De celular;No;;;Santa Rosa de Lima;1303;;Hotel, motel y hostal;San Javier;Peso;Dinero, joyas, piedras preciosas y tÃ­tulo valor;MercancÃ­a;;;;;2158.9547;139971.03
107;108;106;1313;El Corazón;1313;3266.438;;2017;2;17;30dec1899 07:00:00;;1;6.2488192;-75.632054;Hombre;41;Soltero(a);;;;;;;Caminata;;;Hurto a residencia;Rompimiento cerraduta;;No;Palanca;;;El CorazÃ³n;1313;;Hotel, motel y hostal;San Javier;Peso;Dinero, joyas, piedras preciosas y tÃ­tulo valor;MercancÃ­a;;;;;3266.438;203072.39
123;102;122;112;Carpinelo;112;2952.3248;;2017;1;10;30dec1899 03:00:00;;1;6.288143;-75.538349;Mujer;26;UniÃ³n marital de hecho;;;;;;;Caminata;;;Hurto a residencia;Descuido;;No;No;;;Carpinelo;112;;Hotel, motel y hostal;Popular;ElectrodomÃ©sticos cocina y limpieza hogar;ElectrodomÃ©sticos;MercancÃ­a;;;;;2952.3248;361946.64
63;94;62;1312;Betania;1312;4352.1186;;2017;2;8;30dec1899 04:00:00;;1;6.2430791;-75.620924;Mujer;28;Casado(a);;;;;;;Caminata;;;Hurto a residencia;Descuido;;No;No;;;Betania;1312;;Casa o apartamento;San Javier;Peso;Dinero, joyas, piedras preciosas y tÃ­tulo valor;MercancÃ­a;;;;;4352.1186;349073.87
205;89;204;819;Villa Lilliam;819;2872.4723;;2017;1;9;30dec1899 04:00:00;;1;6.2357254;-75.534154;Mujer;60;Casado(a);;;;;;;Caminata;;;Hurto a residencia;Descuido;;No;Objeto contundente;;;Villa Lilliam;819;;Hotel, motel y hostal;Villa Hermosa;DecoraciÃ³n del hogar;Accesorios del hogar;MercancÃ­a;;;;;2872.4723;155173.85
105;88;104;313;María Cano-Carambolas;313;2993.582;;2017;9;1;30dec1899 11:30:00;;1;6.2803459;-75.539409;Mujer;23;UniÃ³n marital de hecho;;;;;;;Caminata;;;Hurto a residencia;Rompimiento cerraduta;;De celular;Palanca;;;MarÃ­a Cano-Carambolas;313;;Hotel, motel y hostal;Manrique;ElectrodomÃ©stico video y audio y accesorios;ElectrodomÃ©sticos;MercancÃ­a;;;;;2993.582;352919.45
9;86;8;203;Pablo VI;203;1406.033;;2008;8;26;30dec1899 03:00:00;;1;6.303378;-75.554311;Mujer;34;Soltero(a);;;;;;;Caminata;;;Hurto a residencia;;;;;;;Pablo VI;203;;Casa o apartamento;BelÃ©n;ElectrodomÃ©sticos cocina y limpieza hogar;ElectrodomÃ©sticos;MercancÃ­a;;;;;1406.033;77739.387
39;83;38;609;Picachito;609;1958.4933;;2017;8;23;30dec1899 09:00:00;;1;6.3003039;-75.585079;Mujer;27;Soltero(a);;;;;;;Caminata;;;Hurto a residencia;Atraco;;No;Arma de fuego;;;Picachito;609;;Hotel, motel y hostal;Doce de Octubre;Peso;Dinero, joyas, piedras preciosas y tÃ­tulo valor;MercancÃ­a;;;;;1958.4933;123730.75
267;83;266;705;Facultad de Minas U. Nacional;705;750.58569;;2012;9;16;30dec1899 01:00:00;;1;6.273215;-75.589567;Mujer;31;Soltero(a);;;;;;;Caminata;;;Hurto a residencia;Rompimiento cerraduta;;;No;;;Facultad de Minas U. Nacional;705;;Casa o apartamento;Castilla;Computador;TecnologÃ­a;MercancÃ­a;;;;;750.58569;28465.524
44;81;43;110;La Esperanza No.2;110;1299.6741;;2017;1;18;30dec1899 11:00:00;;1;6.2924033;-75.541616;Mujer;51;Soltero(a);;;;;;;Caminata;;;Hurto a residencia;Rompimiento cerraduta;;;Objeto contundente;;;La Esperanza No.2;110;;Hotel, motel y hostal;Popular;ElectrodomÃ©sticos cocina y limpieza hogar;ElectrodomÃ©sticos;MercancÃ­a;;;;;1299.6741;67338.261
78;78;77;Inst_6;Facultad Veterinaria y Zootecnia U.de.A.;Inst_6;1754.7624;;2010;9;28;30dec1899 04:00:00;;1;6.272399;-75.590998;;-1;;;;;;;;AutomÃ³vil;;;Hurto por pirateria terrestre;Atraco;;Pirateria;Arma de fuego;;;Fac. Veterinaria y Zootecnia U.De.A.;Inst_6;;Vehiculo particular;Castilla;Alimento para animales;Fauna;Mercancia;;;;;1754.7624;110127.88
117;71;116;1305;Metropolitano;1305;1586.9184;;2003;11;11;30dec1899 10:30:00;;1;6.2632;-75.60859;Hombre;38;Viudo(a);;;;;;;;;;Hurto a residencia;Llave maestra;;;;;;Metropolitano;1305;;Hotel, motel y hostal;San Javier;Peso;Dinero, joyas, piedras preciosas y tÃ­tulo valor;MercancÃ­a;;;;;1586.9184;106982.48
88;67;87;917;Ocho de Marzo;917;1527.6531;;2017;6;13;30dec1899 12:00:00;;1;6.2286312;-75.528221;Hombre;41;UniÃ³n marital de hecho;;;;;;;Caminata;;;Hurto a residencia;Descuido;;No;Objeto contundente;;;Ocho de Marzo;917;;Hotel, motel y hostal;Buenos Aires;Bicicleta;VehÃ­culos de 2 o 4 ruedas;VehÃ­culo;;;;;1527.6531;58069.273
102;66;101;312;Oriente;312;3219.2062;;2017;11;18;30dec1899 06:10:00;;1;6.2764034;-75.540109;Mujer;27;Casado(a);;;;;;;Caminata;;;Hurto a residencia;Descuido;;De celular;No;;;Oriente;312;;Hotel, motel y hostal;Manrique;Celular;TecnologÃ­a;MercancÃ­a;;Negro;;;3219.2062;412250.13
223;65;222;611;Progreso No.2;611;1646.612;;2012;1;18;30dec1899 12:00:00;;1;6.305329;-75.583198;Mujer;40;Casado(a);;;;;;;Caminata;;;Hurto a residencia;Descuido;;;No;;;Progreso No.2;611;;Residencia;Doce de Octubre;Accesorios prendas de vestir;Prendas de vestir y accesorios;MercancÃ­a;;Oro;;;1646.612;115319.95
200;61;199;108;El Compromiso;108;1175.4904;;2017;5;5;30dec1899 09:00:00;;1;6.2894005;-75.543888;Mujer;28;Soltero(a);;;;;;;Caminata;;;Hurto a residencia;Rompimiento cerraduta;;;Palanca;;;El Compromiso;108;;Casa o apartamento;Popular;Celular;TecnologÃ­a;MercancÃ­a;;;;;1175.4904;71906.153
